task_horizon,fold,train_end,test_start,test_end,model,MAE,RMSE,R2,total_bias,total_actual,total_predicted,nonzero_MAE,nonzero_RMSE,active_MAE,active_RMSE,n_test
1,4,123,124,124,Basis Ridge (tuned),0.824701896402154,1.2316553848750178,0.862725287811593,0.04389194841279813,199,207.73449773414683,1.201282445299158,1.6972512079247444,0.824701896402154,1.2316553848750178,141
1,4,123,124,124,Poisson (compact),1.4285909917334096,2.265298454653238,0.5356312570003501,0.38000837819514593,199,274.62166726083404,2.1442097848089623,3.201615289577354,1.4285909917334096,2.265298454653238,141
1,4,123,124,124,"Poisson (area, tuned)",0.9394486961612941,1.3278893786238406,0.8404356320803167,0.06591692686179866,199,212.11746844549793,1.273336057713552,1.8204565292777068,0.9394486961612941,1.3278893786238406,141
1,4,123,124,124,Negative-binomial,1.4286697252281013,2.344910874886225,0.502417837263582,0.45432578443176275,199,289.4108311019208,2.124866605520615,3.354509985448804,1.4286697252281013,2.344910874886225,141
1,5,124,125,125,Global mean,2.3128201508653907,3.9698565092025873,-0.002430901425096277,-0.08778508321348105,314,286.43548387096695,2.498188595960004,4.839815749025017,2.498188595960004,4.839815749025017,141
1,5,124,125,125,Neighbourhood mean,1.1656371539693433,1.781376756627932,0.7981557463963798,-0.0877850832134787,314,286.4354838709677,1.5104364326375712,2.1517657388344045,1.5104364326375712,2.1517657388344045,141
1,5,124,125,125,Recent 12-mo mean,1.0709219858156027,1.6992094764212131,0.8163467280948724,-0.18152866242038215,314,257,1.4303921568627451,2.0935826315897152,1.4303921568627451,2.0935826315897152,141
1,5,124,125,125,Seasonal naive,1.4893617021276595,2.405667068102565,0.6318914768364472,-0.17834394904458598,314,258,2,2.8819927746164065,2,2.8819927746164065,141
1,5,124,125,125,Basis OLS (log),1.1596417888689508,1.7444825526805767,0.8064299832789781,-0.12623137226988718,314,274.36334910725543,1.450629374837547,2.1155291945384116,1.450629374837547,2.1155291945384116,141
1,5,124,125,125,Basis Ridge (tuned),1.1631557321205748,1.7503269513665225,0.8051308067390721,-0.14123645247360211,314,269.65175392328894,1.4632144028647218,2.12702675407275,1.4632144028647218,2.12702675407275,141
1,5,124,125,125,Poisson (compact),1.956077549605386,3.005351739553204,0.42549284291535816,0.2915105162534367,314,405.53430210357914,2.342901817272112,3.419373998643733,2.342901817272112,3.419373998643733,141
1,5,124,125,125,"Poisson (area, tuned)",1.2091784770667398,1.7929206769712802,0.7955312327351303,-0.07214410456864062,314,291.34675116544685,1.4326742723642438,2.135650183979814,1.4326742723642438,2.135650183979814,141
1,5,124,125,125,Negative-binomial,2.0096704964589676,3.29947038347226,0.3075422249947086,0.32788148485699176,314,416.9547862450954,2.460047430426823,3.8441343178761613,2.460047430426823,3.8441343178761613,141
1,6,125,126,126,Global mean,1.9750113173381625,3.5283665443237413,-2.1795877988539658e-4,-0.024979591836735253,294,286.65599999999984,1.9431377133504795,4.125373723824254,1.9431377133504795,4.125373723824254,141
1,6,125,126,126,Neighbourhood mean,1.0725673758865248,1.5276213559296028,0.8125097452111925,-0.024979591836734674,294,286.656,1.3538461538461537,1.8218120673634832,1.3538461538461537,1.8218120673634832,141
1,6,125,126,126,Recent 12-mo mean,0.950354609929078,1.3901885172433188,0.8447274622957178,-0.10997732426303829,294,261.66666666666674,1.2206959706959708,1.6780517731457971,1.2206959706959708,1.6780517731457971,141
1,6,125,126,126,Seasonal naive,1.375886524822695,2.3879128249528847,0.5418747878376409,0.1564625850340136,294,340,1.7582417582417582,2.8361868845257794,1.7582417582417582,2.8361868845257794,141
1,6,125,126,126,Basis OLS (log),1.1430039630929736,1.656535526770792,0.7795303737902592,0.17953947016258118,294,346.78460422779887,1.256237845589274,1.9144587698556903,1.256237845589274,1.9144587698556903,141
1,6,125,126,126,Basis Ridge (tuned),1.1253238544750206,1.5924193910622864,0.7962666286871918,0.1601344445111486,294,341.0795266862777,1.2352637889885567,1.832037330692208,1.2352637889885567,1.832037330692208,141
1,6,125,126,126,Poisson (compact),2.2092123540211404,3.4800728079386896,0.02697518279097466,0.6499786309725196,294,485.0937175059208,2.623226788392749,4.113785823937737,2.623226788392749,4.113785823937737,141
1,6,125,126,126,"Poisson (area, tuned)",1.3316928718884675,2.1778483557743877,0.6189319568111996,0.30368651550989606,294,383.28383555990945,1.4783964767336122,2.564011040412394,1.4783964767336122,2.564011040412394,141
1,6,125,126,126,Negative-binomial,2.524279650413809,4.443825360843237,-0.586577252464267,0.8790067642446823,294,552.4279886879366,3.0759164004489223,5.359649851155539,3.0759164004489223,5.359649851155539,141
1,7,126,127,127,Global mean,2.538813080687232,4.934374689037458,-0.010609277720717403,-0.1991221069433366,358,286.7142857142855,2.834090365766196,6.013153201488277,2.834090365766196,6.013153201488277,141
1,7,126,127,127,Neighbourhood mean,1.1639085894405043,1.7522720657215645,0.8725552037102069,-0.19912210694333612,358,286.71428571428567,1.4789548778312824,2.098111150422907,1.4789548778312824,2.098111150422907,141
1,7,126,127,127,Recent 12-mo mean,1.2695035460992907,2.0467834035443095,0.826114725257595,-0.2797951582867786,358,257.83333333333326,1.701310861423221,2.519353924075884,1.701310861423221,2.519353924075884,141
1,7,126,127,127,Seasonal naive,1.851063829787234,3.243105070214947,0.5634428851188563,0.32122905027932963,358,473,2.426966292134831,3.903326152934159,2.426966292134831,3.903326152934159,141
1,7,126,127,127,Basis OLS (log),1.1540499782847198,1.557236349420372,0.89934668163226394,-0.019907490656984217,358,350.87311834479965,1.2366479800885886,1.743095477566378,1.2366479800885886,1.743095477566378,141
